periodo;regiao;local;rede;ensino;serie;resultado;rendimento
2010;Centro_Oeste;Total;Estadual;Fundamental;1s;Aprovado;91,9
2010;Centro_Oeste;Total;Federal;Fundamental;1s;Aprovado;90,7
2010;Centro_Oeste;Total;Municipal;Fundamental;1s;Aprovado;84,7
2010;Centro_Oeste;Total;Particular;Fundamental;1s;Aprovado;97,9
2010;Centro_Oeste;Total;Publico;Fundamental;1s;Aprovado;86,9
2010;Centro_Oeste;Total;Total;Fundamental;1s;Aprovado;88,5
2010;Centro_Oeste;Urbana;Estadual;Fundamental;1s;Aprovado;91,8
2010;Centro_Oeste;Urbana;Federal;Fundamental;1s;Aprovado;90,7
2010;Centro_Oeste;Urbana;Municipal;Fundamental;1s;Aprovado;85,2
2010;Centro_Oeste;Urbana;Particular;Fundamental;1s;Aprovado;97,9
2010;Centro_Oeste;Urbana;Publico;Fundamental;1s;Aprovado;87,3
2010;Centro_Oeste;Urbana;Total;Fundamental;1s;Aprovado;89
2010;Norte;Rural;Estadual;Fundamental;2s;Aprovado;80,8
2010;Norte;Rural;Federal;Fundamental;2s;Aprovado;
2010;Norte;Rural;Municipal;Fundamental;2s;Aprovado;74,2
2010;Norte;Rural;Particular;Fundamental;2s;Aprovado;80,3
2010;Norte;Rural;Publico;Fundamental;2s;Aprovado;74,8
2010;Norte;Rural;Total;Fundamental;2s;Aprovado;74,8
2010;Norte;Total;Estadual;Fundamental;2s;Aprovado;82,7
2010;Norte;Total;Federal;Fundamental;2s;Aprovado;99,6
2010;Norte;Total;Municipal;Fundamental;2s;Aprovado;77,4
2010;Norte;Total;Particular;Fundamental;2s;Aprovado;97,9
2010;Norte;Total;Publico;Fundamental;2s;Aprovado;78,7
2010;Norte;Total;Total;Fundamental;2s;Aprovado;79,6
2010;Norte;Urbana;Estadual;Fundamental;2s;Aprovado;83
2010;Norte;Urbana;Federal;Fundamental;2s;Aprovado;99,6
2010;Norte;Urbana;Municipal;Fundamental;2s;Aprovado;80
2010;Norte;Urbana;Particular;Fundamental;2s;Aprovado;98,2
2010;Norte;Urbana;Publico;Fundamental;2s;Aprovado;80,9
2010;Norte;Urbana;Total;Fundamental;2s;Aprovado;82,2
2010;Nordeste;Rural;Estadual;Fundamental;2s;Aprovado;78,5
2010;Nordeste;Rural;Federal;Fundamental;2s;Aprovado;90,9
2010;Nordeste;Rural;Municipal;Fundamental;2s;Aprovado;79,2
2010;Nordeste;Rural;Particular;Fundamental;2s;Aprovado;90,8
2010;Nordeste;Rural;Publico;Fundamental;2s;Aprovado;79,1
2010;Nordeste;Rural;Total;Fundamental;2s;Aprovado;79,2
2010;Nordeste;Total;Estadual;Fundamental;2s;Aprovado;79,9
2010;Nordeste;Total;Federal;Fundamental;2s;Aprovado;90,9
2010;Nordeste;Total;Municipal;Fundamental;2s;Aprovado;78,7
2010;Nordeste;Total;Particular;Fundamental;2s;Aprovado;97,3
2010;Nordeste;Total;Publico;Fundamental;2s;Aprovado;78,8
2010;Nordeste;Total;Total;Fundamental;2s;Aprovado;81
2010;Nordeste;Urbana;Estadual;Fundamental;2s;Aprovado;80,1
2010;Nordeste;Urbana;Federal;Fundamental;2s;Aprovado;
2010;Nordeste;Urbana;Municipal;Fundamental;2s;Aprovado;78,4
2010;Nordeste;Urbana;Particular;Fundamental;2s;Aprovado;97,4
2010;Nordeste;Urbana;Publico;Fundamental;2s;Aprovado;78,6
2010;Nordeste;Urbana;Total;Fundamental;2s;Aprovado;82
2010;Sudeste;Rural;Estadual;Fundamental;2s;Aprovado;94,8
2010;Sudeste;Rural;Federal;Fundamental;2s;Aprovado;
2010;Sudeste;Rural;Municipal;Fundamental;2s;Aprovado;85,8
2010;Sudeste;Rural;Particular;Fundamental;2s;Aprovado;95,3
2010;Sudeste;Rural;Publico;Fundamental;2s;Aprovado;86,8
2010;Sudeste;Rural;Total;Fundamental;2s;Aprovado;86,9
2010;Sudeste;Total;Estadual;Fundamental;2s;Aprovado;96,3
2010;Sudeste;Total;Federal;Fundamental;2s;Aprovado;95,5
2010;Sudeste;Total;Municipal;Fundamental;2s;Aprovado;87,4
2010;Sudeste;Total;Particular;Fundamental;2s;Aprovado;98,1
2010;Sudeste;Total;Publico;Fundamental;2s;Aprovado;89,8
2010;Sudeste;Total;Total;Fundamental;2s;Aprovado;91
2010;Sudeste;Urbana;Estadual;Fundamental;2s;Aprovado;96,4
2010;Sudeste;Urbana;Federal;Fundamental;2s;Aprovado;95,5
2010;Sudeste;Urbana;Municipal;Fundamental;2s;Aprovado;87,6
2010;Sudeste;Urbana;Particular;Fundamental;2s;Aprovado;98,1
2010;Sudeste;Urbana;Publico;Fundamental;2s;Aprovado;90,1
2010;Sudeste;Urbana;Total;Fundamental;2s;Aprovado;91,3
2010;Sul;Rural;Estadual;Fundamental;2s;Aprovado;88,8
2010;Sul;Rural;Federal;Fundamental;2s;Aprovado;
2010;Sul;Rural;Municipal;Fundamental;2s;Aprovado;90,3
2010;Sul;Rural;Particular;Fundamental;2s;Aprovado;89
2010;Sul;Rural;Publico;Fundamental;2s;Aprovado;90
2010;Sul;Rural;Total;Fundamental;2s;Aprovado;90
2010;Sul;Total;Estadual;Fundamental;2s;Aprovado;89,4
2010;Sul;Total;Federal;Fundamental;2s;Aprovado;96,9
2010;Sul;Total;Municipal;Fundamental;2s;Aprovado;89,8
2010;Sul;Total;Particular;Fundamental;2s;Aprovado;98,4
2010;Sul;Total;Publico;Fundamental;2s;Aprovado;89,7
2010;Sul;Total;Total;Fundamental;2s;Aprovado;90,6
2010;Sul;Urbana;Estadual;Fundamental;2s;Aprovado;89,4
2010;Sul;Urbana;Federal;Fundamental;2s;Aprovado;96,9
