Periodo;Ano;Meses;Cidade;Dias30;IND;CONST;COMERCIO;SERVICOS;MASCULINO;FEMININO;CHEFES
jul/02;2002;julho;RE;7,9;8;15,4;5,8;5,1;7,3;7;4
ago/02;2002;agosto;RE;6,9;7,9;8,7;5,7;5;6;6,7;3,2
set/02;2002;setembro;RE;8,8;8,9;12,4;6,5;4,8;7,1;8;4,3
out/02;2002;outubro;RE;9,1;8,3;10,5;6,9;6,1;7,8;8;5,1
nov/02;2002;novembro;RE;10,2;7,7;9,3;8;6,8;8;9,7;5,1
dez/02;2002;dezembro;RE;9,3;8,1;11,4;6,5;5,9;7,7;7;4,1
jan/91;1991;janeiro;RJ;4,6;6,3;3,8;4,7;3,2;4,1;4,5;2,2
fev/91;1991;fevereiro;RJ;4,3;5,3;5,1;5,1;2,6;3,8;3,8;2
mar/91;1991;março;RJ;4,7;5,7;4,2;5,5;3,4;3,9;4,7;2,1
abr/91;1991;abril;RJ;4,4;5,2;5,7;5,3;3,1;4;4,3;2,1
mai/91;1991;maio;RJ;4,9;5,4;4,5;6,2;3,6;4;5,4;2,2
jun/91;1991;junho;RJ;4;4,4;4,1;3,9;3;3,3;4,2;2
jul/91;1991;julho;RJ;2,8;2,8;2,1;3,1;2,3;2,1;3,3;1,4
ago/91;1991;agosto;RJ;3,1;4;3,2;2,6;2,4;2,6;3,3;1,5
set/91;1991;setembro;RJ;3,6;4,4;4,1;4,6;2,7;3,2;3,6;1,6
out/91;1991;outubro;RJ;3,8;3,9;4,9;3,2;2,8;3,1;3,5;1,5
nov/91;1991;novembro;RJ;3,7;5,2;2,4;3,6;2,9;3,3;3,6;1,9
dez/91;1991;dezembro;RJ;3,3;4,5;3,9;3;2,4;3;3;1,8
jan/92;1992;janeiro;RJ;3,9;4,9;3;3,8;2,8;3,6;3,6;1,9
fev/92;1992;fevereiro;RJ;4,7;6,9;5,1;5,5;3,2;4,2;4,9;2,4
mar/92;1992;março;RJ;4,6;5,7;5,3;4,5;3,1;3,9;4,4;2,3
abr/92;1992;abril;RJ;4,6;5;6;4,5;3,1;4,1;4;2,4
mai/92;1992;maio;RJ;5;6,5;4,8;6,4;3,6;4,6;4,9;2,9
jun/92;1992;junho;RJ;3,1;6,2;5,2;5,5;4,7;5,1;4,5;1,7
jul/92;1992;julho;RJ;3,1;4,8;4,8;3,8;4,1;4;4,4;1,5
ago/92;1992;agosto;RJ;4,4;5,7;3,6;5,2;2,7;3,6;4,8;2
set/92;1992;setembro;RJ;4,2;5,3;4,1;5,7;2,8;3,6;4,2;1,9
out/92;1992;outubro;RJ;4,4;4,2;6;3,9;3,2;3,5;4,6;1,8
nov/92;1992;novembro;RJ;4,7;6,2;6,3;3,6;3,2;4;4,7;2
dez/92;1992;dezembro;RJ;3,8;5,2;4,5;2,8;2,7;3,3;3,8;1,7
jan/93;1993;janeiro;RJ;5;6,9;3,7;4,1;3,6;3,9;5,5;2,3
fev/93;1993;fevereiro;RJ;4,4;5,6;4,1;4,4;2,8;3,4;4,7;1,8
mar/93;1993;março;RJ;4,8;6,4;4,1;4,8;3,3;4;5,3;2,1
abr/93;1993;abril;RJ;5;6,5;4,7;5,2;3,6;4,3;4,8;2,8
mai/93;1993;maio;RJ;3,9;5,2;4,1;4,1;2,7;3,5;4;2
jun/93;1993;junho;RJ;4;4,9;4,5;3,7;2,5;3,5;4;2,2
jul/93;1993;julho;RJ;4,6;5,6;3,5;4,5;3,1;3,9;4,3;2,5
ago/93;1993;agosto;RJ;4,7;6,4;5,1;5,7;2,9;4,2;4,6;2,2
set/93;1993;setembro;RJ;4,6;5,1;7,3;4,4;3,2;4,3;3,9;2,3
out/93;1993;outubro;RJ;4,6;5,4;5,1;4;2,9;3,7;4,2;1,6
nov/93;1993;novembro;RJ;4,1;5,2;3,9;4,4;2,9;3,5;4,1;2
dez/93;1993;dezembro;RJ;4,4;5,4;4,4;3,7;3;3,7;4,2;2
jan/94;1994;janeiro;RJ;4,8;6,7;5,4;5,8;3,5;4,1;5,4;2,5
fev/94;1994;fevereiro;RJ;4,9;6,2;5;5,3;2,9;3,8;5;2,3
mar/94;1994;março;RJ;5,1;6,1;5,7;5,9;3,6;3,9;5,9;2,3
abr/94;1994;abril;RJ;4,9;6,6;3,8;5,9;3,2;4,2;4,9;2,3
mai/94;1994;maio;RJ;4,3;5,1;3,8;4,3;3,2;3,4;4,8;2
jun/94;1994;junho;RJ;4,7;5,4;4,9;5,8;3,1;3,9;4,8;2,4
jul/94;1994;julho;RJ;4,9;6,9;5;5,8;3,6;4,1;5,6;2,6
ago/94;1994;agosto;RJ;5;6,3;5,5;6;3,7;4,1;5,7;2,3
set/94;1994;setembro;RJ;3,9;5,3;4,5;4;3,1;3,4;4,1;1,8
out/94;1994;outubro;RJ;4,3;5,2;3,3;4,3;3,3;3,5;4,7;2,1
nov/94;1994;novembro;RJ;3,7;4,7;3,7;3,7;2,7;3;3,9;1,8
dez/94;1994;dezembro;RJ;2,9;3,8;2,3;3;2,3;2,6;2,9;1,4
jan/95;1995;janeiro;RJ;3,6;3,7;4,3;4;2,8;3,2;3,6;1,9
fev/95;1995;fevereiro;RJ;3,7;4,5;4,2;3,9;2,7;3,1;4;1,6
mar/95;1995;março;RJ;3,6;5;2,3;3,9;2,5;3;3,6;1,9
abr/95;1995;abril;RJ;3,7;4,1;2,2;3,7;3,1;3,1;3,7;1,6
mai/95;1995;maio;RJ;3,4;5,2;2;3,9;2,7;3,1;3,6;1,7
jun/95;1995;junho;RJ;3,5;5,4;3;3,7;2,1;3;3,5;1,6
jul/95;1995;julho;RJ;3,7;5,7;3,8;4,2;2,4;3,3;3,8;1,6
ago/95;1995;agosto;RJ;3,9;5,7;4,9;4,3;2,8;3,2;4,4;1,8
set/95;1995;setembro;RJ;3,7;4,3;3,2;4,8;2,7;2,9;4,2;1,9
out/95;1995;outubro;RJ;3,9;5,3;4,8;4,8;2,7;3,7;3,7;2,3
nov/95;1995;novembro;RJ;4,1;5,2;5,4;4,1;3;3,7;4;2,1
dez/95;1995;dezembro;RJ;3,5;3,9;4;4,1;2,4;3,1;3,2;1,8
jan/96;1996;janeiro;RJ;3,8;4,2;3,3;4;2,8;3,1;4,1;1,7
fev/96;1996;fevereiro;RJ;3,7;5,1;4,2;4;2,4;3,3;3,3;2
mar/96;1996;março;RJ;4,6;5,5;4,6;5,6;3,4;3,7;5,4;2
abr/96;1996;abril;RJ;4,7;5,4;2,7;5;3,5;3,6;5,4;1,9
mai/96;1996;maio;RJ;4,2;4,2;3,7;4,1;3,2;3,5;4,1;1,9
jun/96;1996;junho;RJ;4;5;3;4,6;3;3,2;4,4;2
jul/96;1996;julho;RJ;4,2;5;3,3;5,1;3,5;3,5;4,7;2,1
ago/96;1996;agosto;RJ;3,9;4,6;2,2;4,9;3,4;3,1;4,6;2
set/96;1996;setembro;RJ;3,7;4,1;3,9;5,6;2,9;3,1;4,3;1,9
out/96;1996;outubro;RJ;3,6;4,6;4,4;3,8;2,8;2,9;4;1,7
nov/96;1996;novembro;RJ;3,5;4,6;3,6;4,7;2,4;2,9;4,1;1,6
dez/96;1996;dezembro;RJ;3,3;3,5;3;3,5;2,2;2,8;3,1;1,5
jan/97;1997;janeiro;RJ;3,9;5,1;3,3;3,8;3;3,4;4;1,8
fev/97;1997;fevereiro;RJ;3,8;4,1;5,5;4,1;2,7;3,2;3,9;2
mar/97;1997;março;RJ;4,2;5,3;4,3;4,5;3,1;3,4;4,7;1,9
abr/97;1997;abril;RJ;4;4,6;3;5,1;2,9;3,2;4,5;2
mai/97;1997;maio;RJ;4;4,9;5,6;4,2;3;3,5;4,3;2,4
jun/97;1997;junho;RJ;4;6,1;3;5;2,6;3,3;4,3;1,9
jul/97;1997;julho;RJ;3,9;5;3,5;4,9;3,1;3,5;4,4;2,4
ago/97;1997;agosto;RJ;3,9;4,5;4,6;4,1;3;3,6;3,7;2,2
set/97;1997;setembro;RJ;3,9;4,8;3,2;4,7;2,9;3,1;4,1;2
out/97;1997;outubro;RJ;4,4;5,1;5,2;5,2;3,3;3,7;4,6;2,5
nov/97;1997;novembro;RJ;4;5;5,5;4,5;2,8;3,4;4,2;2,5
dez/97;1997;dezembro;RJ;4,2;4,8;3,8;4;3,1;3,2;4,6;2
jan/98;1998;janeiro;RJ;5,3;6;4,6;5,5;4,1;4,2;6,1;2,5
fev/98;1998;fevereiro;RJ;5,6;4,9;6,2;5,5;4,5;4,5;5,8;3
mar/98;1998;março;RJ;6,9;8,9;6,7;7,2;5;5,3;7,8;3,5
abr/98;1998;abril;RJ;6,9;8,1;7,6;6,9;4,6;5,4;7,2;3,4
mai/98;1998;maio;RJ;7;8;7,8;6,9;5,2;5,9;7,3;3,9
jun/98;1998;junho;RJ;6,7;7,1;5,7;6,9;4,8;5,2;7,1;2,8
jul/98;1998;julho;RJ;6,2;7,6;4,2;6;4,8;5,1;6,8;3,1
ago/98;1998;agosto;RJ;6,2;7,1;4,4;6,6;4,6;4,8;7,1;3,5
set/98;1998;setembro;RJ;5,6;5,6;4,4;5,7;4,3;4,3;6,2;3
out/98;1998;outubro;RJ;5;5,3;5,3;5,8;3,6;4,1;5,6;2,8
nov/98;1998;novembro;RJ;5,1;5,2;6;5,5;3,6;4;5,4;2,8
dez/98;1998;dezembro;RJ;4,4;5,2;5;4,3;3,3;3,5;4,9;2,4
jan/99;1999;janeiro;RJ;5,7;6;5,2;5,7;4,6;4,9;6,1;3,2
fev/99;1999;fevereiro;RJ;5,6;5,6;5,1;4,8;4,4;4,3;6,1;2,7
mar/99;1999;março;RJ;6,5;5,9;6,2;6;5,1;5;7,4;3,4
abr/99;1999;abril;RJ;6,3;5,5;4,3;6;5,3;4,8;7,2;2,9
mai/99;1999;maio;RJ;5,8;5;5,3;4;5;4,6;6,3;2,6
jun/99;1999;junho;RJ;6;5,1;4,8;6,5;4,9;4,7;6,9;2,8
jul/99;1999;julho;RJ;5,8;5,5;4,7;5;4,8;4,3;6,9;3
ago/99;1999;agosto;RJ;6,3;6,6;5,1;6,8;4,8;5;7,1;3,6
set/99;1999;setembro;RJ;5,5;6,8;3,8;5,6;4,4;4,6;6,2;3,2
out/99;1999;outubro;RJ;5,9;6,7;4,5;5,5;4,7;4,5;7;3,4
nov/99;1999;novembro;RJ;5,7;5,9;4,9;5,5;4,5;4,3;6,7;3,1
dez/99;1999;dezembro;RJ;5,1;3,4;4,3;5,7;3,6;3,7;5,8;2,3
jan/00;2000;janeiro;RJ;5,9;6,1;4,9;6,3;4,7;4,3;7,6;2,7
fev/00;2000;fevereiro;RJ;6,3;5,8;5,2;7,2;4,4;4,8;7;3,2
mar/00;2000;março;RJ;7,1;7,3;6,1;7,5;4,8;5,5;7,4;3,7
abr/00;2000;abril;RJ;6,6;6;5,1;7,1;4,9;5,4;7,2;3,2
mai/00;2000;maio;RJ;6,4;5,9;5;6,5;5;4,8;7,6;3
jun/00;2000;junho;RJ;5,8;6,5;4,7;5,7;4,8;4,6;6,8;3
jul/00;2000;julho;RJ;5,8;5,9;6,7;5,6;4,7;4,6;6,6;3
ago/00;2000;agosto;RJ;5,8;6,4;6,3;5,7;4,4;4,6;6,4;3
set/00;2000;setembro;RJ;5,2;5,2;6;4,9;3,9;4,3;5,1;2,5
out/00;2000;outubro;RJ;5,1;5,2;3,8;5,5;4,2;3,8;5,9;2,6
nov/00;2000;novembro;RJ;4,8;6;3,1;5,4;3,7;3,8;5,3;2,4
dez/00;2000;dezembro;RJ;3,8;5,4;3,3;3;2,8;2,8;4,1;2
jan/01;2001;janeiro;RJ;4,2;4,2;4,5;5,4;3,2;3,4;4,6;2,1
fev/01;2001;fevereiro;RJ;3,8;4,7;3,3;4,4;2,5;3,3;3,4;1,8
mar/01;2001;março;RJ;4,9;4,8;3,9;5,6;3,8;4,3;5;2,2
abr/01;2001;abril;RJ;5,1;5,8;5;6,2;3,4;4,4;5,1;2,5
mai/01;2001;maio;RJ;5,7;4,6;5,1;6;4,4;4,8;5,7;2,9
jun/01;2001;junho;RJ;4,8;4,4;3,3;5,8;3,5;3,9;5,2;2,4
jul/01;2001;julho;RJ;5,1;5,4;3,6;5,6;3,8;4;5,7;2,4
ago/01;2001;agosto;RJ;4,8;6,4;3,4;5;3,1;3,3;5,4;2,5
set/01;2001;setembro;RJ;4,2;3,9;2,3;4;3,3;2,9;5;1,8
out/01;2001;outubro;RJ;4,9;5,7;3,2;5,4;3,5;3,9;5,6;2,6
nov/01;2001;novembro;RJ;5,2;6,2;4,1;5,1;3,8;4,1;5,6;2,6
dez/01;2001;dezembro;RJ;5;4,8;4,2;6,4;3,8;3,8;5,7;2,9
jan/02;2002;janeiro;RJ;6,1;4,4;5,4;8,5;4,7;4,9;6,9;3,6
fev/02;2002;fevereiro;RJ;5,1;5,4;4,7;5,5;3,7;3,9;5,5;3,1
mar/02;2002;março;RJ;6,5;7,1;3,2;6,9;4,7;5,3;6,7;3,2
abr/02;2002;abril;RJ;6,8;9;4,1;7,5;5,1;5,4;7,5;3,5
mai/02;2002;maio;RJ;6,1;5,6;5,1;8;4,5;5;6,7;2,8
jun/02;2002;junho;RJ;6,3;6,8;5,8;7,5;4,5;5,1;7;2,9
jul/02;2002;julho;RJ;6,4;6,6;5;8;4,8;5,3;6,8;3,1
ago/02;2002;agosto;RJ;5,9;5,7;5,8;7,9;4,1;4,7;6,2;2,7
set/02;2002;setembro;RJ;5,7;6;3,8;8;4,4;4,5;6,8;2,7
out/02;2002;outubro;RJ;5,7;5,8;4,9;6,6;4,2;4,7;6,4;2,8
nov/02;2002;novembro;RJ;5,6;6;5;6;4;4,3;6,3;2,5
dez/02;2002;dezembro;RJ;4,1;3,5;2;4,8;2,4;2,9;3,8;1,3
jan/91;1991;janeiro;SAL;5,5;8,4;8,6;7,2;3,7;5,7;5,1;3,6
fev/91;1991;fevereiro;SAL;5,3;6,8;8,7;6,6;3,8;5,1;5,3;3,8
mar/91;1991;março;SAL;5,9;7,9;9,7;7,1;4,4;6,3;5;4,3
abr/91;1991;abril;SAL;6,5;8,7;9,1;6;4,5;6,1;6;4,4
mai/91;1991;maio;SAL;7,6;9,7;13,2;7,3;5,3;7,9;6,4;5,3
jun/91;1991;junho;SAL;6,9;8,3;10,4;7,2;5,1;6,8;5,9;3,9
jul/91;1991;julho;SAL;6,8;9,2;9,3;7;5,2;6,5;6,5;4,1
ago/91;1991;agosto;SAL;5,8;6,9;7,2;6;4,5;5,6;5,8;3,5
set/91;1991;setembro;SAL;6,6;7,1;10,4;7;4,9;6,7;5,6;4
out/91;1991;outubro;SAL;6,5;7,1;11,2;6;5,2;6,9;5,5;4,6
nov/91;1991;novembro;SAL;5;5,6;9,2;4,6;4;5,2;4,4;3
dez/91;1991;dezembro;SAL;5,5;6,4;9,6;5,8;4,2;5,5;4,8;3,9
jan/92;1992;janeiro;SAL;5,8;6,8;8,3;6,4;4,7;6;4,9;4
fev/92;1992;fevereiro;SAL;6,6;7;9,9;7;5;6,6;6,1;4,7
mar/92;1992;março;SAL;7,4;7,7;13;6,6;6;7,1;7,2;4,7
abr/92;1992;abril;SAL;6,9;7,5;10,2;6,5;5;6,8;5,4;4,4
mai/92;1992;maio;SAL;7,6;6,8;13,8;6,6;6;7,7;6,6;6,1
jun/92;1992;junho;SAL;5,7;0,8;11,2;6,9;5,5;0,7;4,5;4,4
jul/92;1992;julho;SAL;6,3;0,5;10,8;5,4;6,3;0,4;4,4;4,5
ago/92;1992;agosto;SAL;6,3;5,5;12,5;6;5;6,4;5,6;4,6
set/92;1992;setembro;SAL;6,4;7,1;13,9;5,8;5;7;5,2;4,7
out/92;1992;outubro;SAL;7,9;10,8;14,9;7,5;5,4;8,4;6,3;5,5
nov/92;1992;novembro;SAL;9,2;10,8;18,2;8,2;6,7;9,6;7,9;6
dez/92;1992;dezembro;SAL;6,7;9,8;11,2;5,9;4,4;6,8;5,5;3,9
jan/93;1993;janeiro;SAL;8,3;9,7;15;8,5;5,6;8,1;7,6;5,2
fev/93;1993;fevereiro;SAL;7,8;10,3;12,9;8,5;4,9;7,5;6,8;5
mar/93;1993;março;SAL;7,8;8,5;13,4;7,5;5,5;7,8;7,1;5,1
abr/93;1993;abril;SAL;7,1;8,1;13,1;6,3;4,9;7,2;5,8;4,8
mai/93;1993;maio;SAL;6,6;9;11,9;6,3;4,5;6,9;5,9;5
jun/93;1993;junho;SAL;5,8;6,5;11,8;5,2;4,1;6;4,9;3,8
jul/93;1993;julho;SAL;6,4;6,3;10,7;7,8;4,5;6,3;6;4,1
ago/93;1993;agosto;SAL;7,4;9,3;13,8;7,6;5,1;7,4;6,4;5
set/93;1993;setembro;SAL;7,6;9,5;15;6,5;5,5;8;6,4;5,5
out/93;1993;outubro;SAL;6;7,1;9,6;6,1;4,1;5,5;5,3;4,3
nov/93;1993;novembro;SAL;6,4;7;13,7;5;4,3;6,9;5;4,7
dez/93;1993;dezembro;SAL;6,5;7,8;11;5;4,7;6,6;5,3;4,5
jan/94;1994;janeiro;SAL;7,6;10,5;14;5,6;6,1;7,9;6,4;5,6
fev/94;1994;fevereiro;SAL;7,2;7,6;10,7;6,7;5,8;6,6;7,1;4,9
mar/94;1994;março;SAL;8;10,9;12,9;6,5;6,1;8;7,4;5,9
abr/94;1994;abril;SAL;7,7;8,7;14,2;7,1;5,7;8;6,8;6,2
mai/94;1994;maio;SAL;8,3;9,4;17,4;6,2;6;9;6,9;7
jun/94;1994;junho;SAL;7,6;10,4;13,9;6,3;5,5;8;6;5,6
jul/94;1994;julho;SAL;7,7;8,5;15;6,8;5,7;8;6,6;6,2
ago/94;1994;agosto;SAL;7,2;6;12,9;7,2;5,4;7,4;6,3;4,9
set/94;1994;setembro;SAL;7,2;7,6;12,1;5,8;5,3;6,8;6,9;4,7
out/94;1994;outubro;SAL;6,8;7,8;13,7;5,3;5,3;6,8;6,3;4
nov/94;1994;novembro;SAL;6,7;7,8;11,8;6,7;4,8;6,9;5,9;4,2
dez/94;1994;dezembro;SAL;6;4,2;11,6;4,9;4,5;6,2;5,3;4,1
jan/95;1995;janeiro;SAL;6,3;8,6;10,8;5,8;4,4;6,4;5,6;4,9
fev/95;1995;fevereiro;SAL;6,2;5,8;10,6;7,1;4,3;6,4;5,2;4,1
mar/95;1995;março;SAL;7,1;8,2;13,4;7,2;5,2;7,6;6,2;5
abr/95;1995;abril;SAL;7,3;9,1;13,9;6,2;4,9;7,3;6,9;5,3
mai/95;1995;maio;SAL;7,3;7,3;13,9;6,2;5,7;7,5;6,6;5,7
jun/95;1995;junho;SAL;7,1;6,5;15,5;7,3;5,5;7,2;6,4;5,1
jul/95;1995;julho;SAL;7,1;8,2;11,9;7,1;5,4;7;6,7;4,7
ago/95;1995;agosto;SAL;7,2;7,5;13,8;6;6,2;7,1;6,9;4,7
set/95;1995;setembro;SAL;7,5;8,5;13,9;8;5,6;7,7;6,6;4,8
out/95;1995;outubro;SAL;6,8;8,7;9,9;7;5,7;6,9;6,5;4,5
nov/95;1995;novembro;SAL;6,5;7,8;12,1;7,5;4,6;6,4;6,3;4,3
dez/95;1995;dezembro;SAL;6,7;8,4;11,1;6,6;5,3;6,8;6,1;4,9
jan/96;1996;janeiro;SAL;7,2;7,5;15,4;7,6;5,3;7,4;6,7;4,8
fev/96;1996;fevereiro;SAL;7,2;6,8;13,3;6;6,1;6,8;7,1;4,4
mar/96;1996;março;SAL;6,5;8;13,3;5,7;5;6,8;5,8;4,5
abr/96;1996;abril;SAL;7,2;9;10,4;7;5,3;7,4;6,2;5,3
mai/96;1996;maio;SAL;7,4;9;13,9;6,2;5,5;7;7,2;4,7
jun/96;1996;junho;SAL;7;7,9;14,1;5,4;4,9;7,3;6,1;4,7
jul/96;1996;julho;SAL;6,8;7,5;9,8;7;5,1;6,6;6,1;4,7
ago/96;1996;agosto;SAL;9,3;9,3;13;9,8;6,5;8,4;8,6;5,7
set/96;1996;setembro;SAL;7,9;7,9;13,4;8;5,8;7,8;7,1;5,5
out/96;1996;outubro;SAL;6,9;6,2;10,8;6,6;5,8;6,7;6,6;5
nov/96;1996;novembro;SAL;6,7;6,7;11,2;6,7;5,6;6,7;6;4,7
dez/96;1996;dezembro;SAL;5,7;5;9,6;5,9;4,6;5;6;3,8
jan/97;1997;janeiro;SAL;6,9;7;10,8;7,3;5,2;6,5;6,7;4,3
fev/97;1997;fevereiro;SAL;7,4;10;11,4;7,6;5,5;7;7,3;4,8
mar/97;1997;março;SAL;7,9;8,3;12,7;7,8;6,5;7,8;7,6;5,9
abr/97;1997;abril;SAL;7,5;8,5;11;7,3;5,5;6,5;7,5;5,1
mai/97;1997;maio;SAL;8,5;8,7;10,6;10,2;6,8;8,2;8,5;5,7
jun/97;1997;junho;SAL;8,3;7,6;14;8,1;6;7,8;7,3;5,4
jul/97;1997;julho;SAL;8,8;8,1;13,5;8,3;6,5;7,9;8,4;6,5
ago/97;1997;agosto;SAL;9,6;12,9;14,5;10;7;9,3;9;6,6
set/97;1997;setembro;SAL;8,4;6,6;12,3;9,3;6,6;8,1;7,5;5,5
out/97;1997;outubro;SAL;8,2;7,6;12;7,3;5,9;7,9;7,1;4,9
nov/97;1997;novembro;SAL;8,5;6,2;14;7,6;6,6;8,4;7,8;5,4
dez/97;1997;dezembro;SAL;8,4;6,8;13,3;6,8;6,1;7,4;7,9;5,3
jan/98;1998;janeiro;SAL;9,6;10,1;12;8,2;6,8;7,8;9,8;5,7
fev/98;1998;fevereiro;SAL;9,9;9,5;12;9,9;7,2;8,3;9,7;5,9
mar/98;1998;março;SAL;10,6;9,3;13,4;11,4;8,4;9,3;10,9;6,8
abr/98;1998;abril;SAL;10,5;11,3;15,6;11,1;8;10,3;9,6;7,5
mai/98;1998;maio;SAL;9,8;10,6;13,9;10,1;7,7;9,2;10,2;6,7
jun/98;1998;junho;SAL;10,5;9,3;18;8,9;8,4;9,6;10,2;7,5
jul/98;1998;julho;SAL;10,5;12;16,9;9,4;7,9;9,3;11;6,3
ago/98;1998;agosto;SAL;9,7;10,7;12,2;9,5;7,9;8,4;10,2;5,3
set/98;1998;setembro;SAL;9,9;10,9;12,7;10,2;8,2;9,2;10;6,7
out/98;1998;outubro;SAL;9,4;11,7;17,5;9,1;7,6;9,4;8,9;7,1
nov/98;1998;novembro;SAL;8,5;12,1;8,9;8,5;6,9;8,4;7,8;5,7
dez/98;1998;dezembro;SAL;8,6;9,8;12,7;8,3;7,4;8,2;8,7;6,4
jan/99;1999;janeiro;SAL;9,1;9,5;12,1;7,5;7,3;8,4;8,5;5,6
fev/99;1999;fevereiro;SAL;10,4;11,8;17;9,7;8;9,7;9,8;7,2
mar/99;1999;março;SAL;10,6;8,3;17,8;9,9;8,7;9,8;9,9;7,2
abr/99;1999;abril;SAL;10,9;13,3;13,7;10,8;8,9;9,6;11,1;7,2
mai/99;1999;maio;SAL;10,8;9,2;17,9;11;8,7;10,1;10,2;8,2
jun/99;1999;junho;SAL;10,7;9,5;14,1;11,4;8,6;10;10;6,9
jul/99;1999;julho;SAL;10,5;11,2;15,8;11,1;8,8;9,6;11;7,2
ago/99;1999;agosto;SAL;11,8;9,4;17,5;10,8;9,7;10,4;12,4;7,8
set/99;1999;setembro;SAL;11,6;9,9;18,3;11,2;9,1;10,9;11;7,4
out/99;1999;outubro;SAL;10,5;11,5;14,6;9,3;8;9,3;10,6;6,8
nov/99;1999;novembro;SAL;9,9;10,9;14,9;8,9;7,9;9,1;9,6;7,4
dez/99;1999;dezembro;SAL;10,2;8,1;11;9,6;8,3;9,1;9,7;6,9
jan/00;2000;janeiro;SAL;12,1;12,1;19,9;11;9,2;11,5;11,1;7,7
fev/00;2000;fevereiro;SAL;12;10,7;17;10,5;10,2;10,8;12,6;8,5
mar/00;2000;março;SAL;12,3;13,1;18,9;11,5;8,8;10,5;13;7,6
abr/00;2000;abril;SAL;11,3;9;13,9;12,1;8,5;9,9;11,5;6,7
mai/00;2000;maio;SAL;10,4;8,1;13,3;10,1;7,7;8,7;11,1;6,6
jun/00;2000;junho;SAL;10,4;9,8;14,3;9,3;7,8;8,7;10,4;5,6
jul/00;2000;julho;SAL;10,2;8,6;16,5;9,5;7,7;8,6;10,9;6,1
ago/00;2000;agosto;SAL;9,7;9,3;12,3;10;7,4;8,1;10,1;5,4
set/00;2000;setembro;SAL;9,8;8,2;13,8;8,7;7,6;8,3;9,9;5,3
out/00;2000;outubro;SAL;10,2;8,6;12,7;8,6;7,9;8,1;10,5;6,5
nov/00;2000;novembro;SAL;10,3;6,9;14,7;7,5;8;7,9;10,9;5,3
dez/00;2000;dezembro;SAL;8,7;6,3;9,9;6,7;6,6;6,9;8,3;5,1
jan/01;2001;janeiro;SAL;9,2;8,8;11,4;6,9;6,9;7,6;9,3;5,5
fev/01;2001;fevereiro;SAL;10,2;9,5;13,6;9,7;7,3;8,8;10,1;6,1
mar/01;2001;março;SAL;11,1;8,8;12,4;9,4;8,6;9,1;11,6;6,5
abr/01;2001;abril;SAL;11,1;9,1;15,2;9,1;9;9,8;11;7,5
mai/01;2001;maio;SAL;10,6;9,2;15,2;9,4;7,8;9,7;10,7;7,1
jun/01;2001;junho;SAL;10,1;9,6;14,1;10,5;6,9;9,2;9,6;5,9
jul/01;2001;julho;SAL;9,3;9,7;12,8;9,1;6,5;7,8;9,9;5,8
ago/01;2001;agosto;SAL;10;6,6;18,5;10,3;7;9,4;9,3;6,5
set/01;2001;setembro;SAL;8,8;8,3;17,1;8,6;5,8;8,1;7,9;5,3
out/01;2001;outubro;SAL;8,6;9,4;12,6;9;5,7;7,8;8,1;5
nov/01;2001;novembro;SAL;8,3;7,1;9,6;8,8;5,6;7,1;8,7;3,9
dez/01;2001;dezembro;SAL;9,1;5,4;6,7;8,4;6,7;7,5;8,7;5,3
jan/02;2002;janeiro;SAL;10,5;9,8;8,6;10;6,6;9,4;10,1;5,9
fev/02;2002;fevereiro;SAL;8,5;8,5;10;8,6;5,1;7,1;8,2;4,3
mar/02;2002;março;SAL;9,2;7,6;12,9;7,3;6,3;7,5;9,3;5
abr/02;2002;abril;SAL;7,7;5,3;11,2;7,7;4,3;6,1;7,1;3,6
mai/02;2002;maio;SAL;9,1;7,8;7,5;7,5;6,5;6,8;9,5;4,7
jun/02;2002;junho;SAL;9,9;8,8;11,6;7,5;6,2;7,9;8,8;5,6
jul/02;2002;julho;SAL;9,6;9,6;11;7,8;6;7,7;8,3;4,8
ago/02;2002;agosto;SAL;9,5;7,6;14,4;7,5;6,1;8,3;8;5,2
set/02;2002;setembro;SAL;8,5;7,7;12,9;6,8;5,9;7,2;8,3;5
out/02;2002;outubro;SAL;8,1;6,8;9,2;7,1;5,1;6,6;7,4;4,1
nov/02;2002;novembro;SAL;7,4;8,2;9,2;6,4;4,3;5,7;7,1;4,3
dez/02;2002;dezembro;SAL;6,7;6,8;7,5;5;4,3;5,1;7,1;3,1
jan/91;1991;janeiro;SP;6,4;7,2;3,8;7,3;4,4;5,8;6,1;3,7
fev/91;1991;fevereiro;SP;6,9;8,7;4,8;6,5;4,6;6;6,9;3,6
mar/91;1991;março;SP;7,8;9,7;6,1;6,4;5,2;7;7,6;4,6
abr/91;1991;abril;SP;7,3;9,2;6,5;7,3;4,8;6,9;7;4,5
mai/91;1991;maio;SP;7,1;8;6,6;8;4,3;6,5;6,5;4,1
jun/91;1991;junho;SP;6,1;7;7,2;6,3;3,6;5,6;5,7;3,3
jul/91;1991;julho;SP;4,6;5,7;4,4;4,8;2,9;4,4;4,3;2,5
ago/91;1991;agosto;SP;4,8;5;4,9;4,3;3,5;4,5;4,2;2,7
set/91;1991;setembro;SP;4,6;5,4;3,8;5,2;3,5;4,4;4,4;2,5
out/91;1991;outubro;SP;5;5,4;4;5;3,4;4,5;4,6;2,3
